Activity ID,Activity Date,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Heart Rate,Average Heart Rate,Calories,Relative Effort,Grade Adjusted Distance
3955056201,"Aug 23, 2020, 1:47:15 PM",Run,1851,6.94,168,35,1851,6939.299805,8.699999809,3.748946428,148.9620819,148.6620789,234.8999939,288.3999939,29.79999924,0.004323203,,147.4243164,461,35,7313.299805
3970505790,"Aug 26, 2020, 11:51:11 AM",Run,2212,8.06,177,63,2195,8060.299805,7.900000095,3.672118425,152.4052429,150.705246,234.8999939,288.3999939,17.60000038,0.021091027,,155.9560699,538,63,8411.400391
3972877354,"Aug 27, 2020, 12:09:21 PM",Run,1880,6.9,176,52,1861,6899.299805,8.300000191,3.707307816,149.0955048,148.5955048,234.8999939,288.3999939,21.20000076,0.007247112,,155.4059753,461,52,7255.299805
3982903109,"Aug 29, 2020, 1:47:19 PM",Run,3001,11.27,176,83,2931,11278.5,7.699999809,3.848004103,96.43823242,85.83823395,252.1000061,287.2999878,26.39999962,0.093984127,,156.0920105,752,83,11467.2002
3987266507,"Aug 30, 2020, 1:20:05 PM",Run,1821,6.9,171,36,1821,6905.399902,8.399999619,3.792092323,149.1665192,147.3665314,234.8999939,288.3999939,26.29999924,0.026066557,,147.7812653,457,36,7267.700195
3995518393,"Sep 1, 2020, 11:37:00 AM",Run,1890,6.87,176,42,1887,6872.299805,8.800000191,3.641918421,149.4758606,147.4758606,234.8999939,288.3999939,26.60000038,0.029102338,,150.8903656,465,42,7239.700195
4001723047,"Sep 2, 2020, 11:36:17 AM",Run,2220,8.07,176,52,2212,8072,7.400000095,3.649186373,152.6152802,151.015274,234.8999939,288.3999939,19.39999962,0.019821605,,151.9222717,543,52,8426.599609
4009939655,"Sep 4, 2020, 11:41:12 AM",Run,1883,6.87,176,52,1876,6878.600098,8.199999809,3.666631222,148.7505035,146.9505005,234.8999939,288.3999939,18,0.026168115,,155.5070953,461,52,7238.5
4016016033,"Sep 5, 2020, 1:17:58 PM",Run,3044,11.55,175,89,2973,11556.90039,8.399999619,3.887285471,92.47220612,93.77220917,252.1000061,285.7000122,19.20000076,-0.011248691,,157.3904114,770,89,11688.2998
4020807739,"Sep 6, 2020, 1:16:30 PM",Run,2198,8.16,182,73,2185,8161.100098,9.600000381,3.735057116,154.9951782,152.3951721,234.8999939,288.3999939,28.60000038,0.031858452,,158.9825287,546,73,8554.599609
4027158877,"Sep 7, 2020, 8:01:54 PM",Run,2171,8.14,180,66,2167,8140.600098,9.800000191,3.756622076,152.5890961,150.6891022,234.8999939,288.3999939,23,0.023339802,,156.8336639,537,66,8489.599609
4034393655,"Sep 9, 2020, 11:44:44 AM",Run,1895,6.88,173,38,1871,6880.399902,7.5,3.677391768,147.8681183,147.1681213,234.8999939,288.3999939,26.10000038,0.010173827,,148.3105164,463,38,7230.799805
4049240611,"Sep 12, 2020, 1:23:56 PM",Run,3047,11.28,179,79,3040,11280.59961,7.5,3.710723639,177.2230682,177.7230682,235.8999939,282,24.79999924,-0.004432388,,154.0722961,753,79,11675.2002
4054167354,"Sep 13, 2020, 1:35:29 PM",Run,2199,8.13,171,44,2199,8137.299805,7.900000095,3.700454712,152.624588,150.624588,234.8999939,288.3999939,15.89999962,0.024578176,,148.7914124,545,44,8482.700195
4058760570,"Sep 14, 2020, 11:52:00 AM",Run,1902,6.9,173,41,1881,6908.100098,8.300000191,3.672567844,149.1306458,147.9306488,234.8999939,288.3999939,21.79999924,0.017370913,,150.0570831,463,41,7271.899902
4068074677,"Sep 16, 2020, 11:54:15 AM",Run,1833,6.91,170,40,1826,6916.899902,8.199999809,3.788006544,148.5416718,148.5416718,234.8999939,288.3999939,25.70000076,0,,149.6867676,455,40,7280.600098
4077276436,"Sep 18, 2020, 11:53:45 AM",Run,1885,6.85,172,46,1839,6853.899902,9.399999619,3.726971149,148.3554993,146.3554993,234.8999939,288.3999939,29.5,0.029180467,,153.1921997,457,46,7213.899902
4082650686,"Sep 19, 2020, 2:03:56 PM",Run,2889,11.66,180,89,2836,11661.90039,8.5,4.112094402,84.75873566,95.45874023,252.1000061,285.7000122,30.10000038,-0.091751769,,158.0440521,769,89,11786.40039
4089711439,"Sep 20, 2020, 8:11:36 PM",Run,2093,8.2,180,61,2090,8204.700195,9.399999619,3.92569375,152.3587036,151.9586945,234.8999939,288.3999939,16.39999962,0.004875254,,156.365799,537,61,8548.099609
4096389428,"Sep 22, 2020, 11:51:14 AM",Run,1810,6.87,177,25,1806,6875.200195,9.600000381,3.806865931,148.7638092,147.3638153,234.8999939,288.3999939,26.5,0.020363044,,142.4302521,455,25,7241.600098
